,Sequence_1,Sequence_10,Sequence_100,Sequence_103,Sequence_11,Sequence_12,Sequence_13,Sequence_14,Sequence_15,Sequence_16,Sequence_18,Sequence_19,Sequence_2,Sequence_20,Sequence_21,Sequence_25,Sequence_26,Sequence_27,Sequence_28,Sequence_29,Sequence_3,Sequence_31,Sequence_32,Sequence_35,Sequence_38,Sequence_4,Sequence_42,Sequence_43,Sequence_44,Sequence_46,Sequence_47,Sequence_48,Sequence_49,Sequence_5,Sequence_50,Sequence_51,Sequence_52,Sequence_53,Sequence_54,Sequence_55,Sequence_57,Sequence_58,Sequence_59,Sequence_6,Sequence_60,Sequence_61,Sequence_62,Sequence_63,Sequence_64,Sequence_65,Sequence_66,Sequence_68,Sequence_69,Sequence_7,Sequence_70,Sequence_71,Sequence_73,Sequence_74,Sequence_76,Sequence_77,Sequence_78,Sequence_79,Sequence_8,Sequence_81,Sequence_82,Sequence_83,Sequence_84,Sequence_85,Sequence_86,Sequence_87,Sequence_88,Sequence_9,Sequence_90,Sequence_92,Sequence_93,Sequence_95,Sequence_96,Sequence_97,Sequence_98,Sequence_99
Sequence_1,100.0,30.263158,30.434783,23.529412,26.5625,36.065574,47.368421,32.8125,52.112676,26.865672,36.065574,34.42623,33.823529,30.985915,39.43662,47.058824,30.882353,34.42623,34.848485,22.058824,34.848485,33.823529,33.823529,34.210526,20.289855,29.6875,27.631579,70.422535,29.166667,25.373134,27.941176,29.850746,32.876712,42.465753,44.0,31.578947,50.684932,28.947368,29.508197,24.242424,20.289855,29.577465,25.0,42.622951,44.736842,30.434783,34.210526,44.776119,44.776119,41.791045,23.684211,23.684211,50.0,26.5625,36.065574,25.0,31.884058,34.666667,33.333333,30.434783,39.726027,39.189189,18.309859,32.786885,25.675676,43.835616,23.4375,25.396825,25.757576,47.826087,26.5625,34.285714,25.0,31.884058,24.242424,23.529412,54.794521,34.666667,25.0,28.985507
Sequence_10,30.263158,100.0,28.985507,52.941176,46.875,18.032787,27.272727,28.125,26.760563,32.835821,18.032787,18.032787,30.882353,16.901408,25.352113,32.352941,29.411765,18.032787,24.242424,52.941176,24.242424,25.0,29.411765,51.219512,49.275362,42.1875,29.87013,25.352113,43.055556,55.223881,19.117647,29.850746,35.616438,27.39726,32.0,21.052632,27.39726,67.948718,16.393443,56.060606,47.826087,23.943662,54.411765,19.672131,27.631579,21.73913,33.766234,28.358209,28.358209,23.880597,53.246753,46.753247,43.243243,46.875,19.672131,52.941176,23.188406,38.666667,27.272727,23.188406,28.767123,28.378378,46.478873,18.032787,18.918919,27.39726,40.625,22.222222,24.242424,27.536232,39.0625,28.571429,51.470588,21.73913,28.787879,50.0,26.027397,38.666667,52.941176,27.536232
Sequence_100,30.434783,28.985507,100.0,41.176471,31.25,34.42623,40.57971,51.5625,44.927536,53.731343,34.42623,34.42623,63.235294,28.985507,30.434783,50.0,58.823529,32.786885,57.575758,41.176471,57.575758,64.705882,66.176471,27.536232,34.782609,37.5,26.086957,28.985507,27.536232,40.298507,45.588235,49.253731,36.231884,36.231884,47.826087,28.985507,30.434783,24.637681,31.147541,37.878788,34.782609,34.782609,42.647059,40.983607,39.130435,42.028986,42.028986,50.746269,52.238806,41.791045,34.782609,36.231884,33.333333,32.8125,32.786885,41.176471,44.927536,34.782609,53.030303,40.57971,39.130435,44.927536,39.130435,29.508197,24.637681,42.028986,31.25,46.031746,37.878788,31.884058,32.8125,39.130435,41.176471,37.681159,45.454545,41.176471,34.782609,34.782609,41.176471,92.753623
Sequence_103,23.529412,52.941176,41.176471,100.0,29.6875,22.95082,29.411765,40.625,23.529412,46.268657,22.95082,22.95082,44.117647,25.0,22.058824,45.588235,44.117647,22.95082,40.909091,75.0,40.909091,39.705882,45.588235,55.882353,66.176471,29.6875,20.588235,20.588235,27.941176,74.626866,19.117647,35.820896,26.470588,27.941176,27.941176,22.058824,20.588235,54.411765,18.032787,69.69697,61.764706,29.411765,83.823529,27.868852,30.882353,29.411765,30.882353,44.776119,43.283582,34.328358,55.882353,55.882353,27.941176,29.6875,24.590164,64.705882,35.294118,26.470588,45.454545,32.352941,27.941176,29.411765,60.294118,21.311475,16.176471,29.411765,25.0,39.68254,33.333333,23.529412,26.5625,33.823529,64.705882,27.941176,48.484848,61.764706,27.941176,26.470588,64.705882,41.176471
Sequence_11,26.5625,46.875,31.25,29.6875,100.0,40.983607,28.125,43.75,29.6875,46.875,40.983607,39.344262,34.375,35.9375,34.375,35.9375,37.5,37.704918,34.375,34.375,34.375,31.25,34.375,25.0,26.5625,75.0,34.375,26.5625,60.9375,35.9375,32.8125,39.0625,40.625,31.25,37.5,39.0625,20.3125,43.75,37.704918,28.125,28.125,34.375,32.8125,34.42623,31.25,37.5,45.3125,32.8125,29.6875,29.6875,31.25,25.0,45.3125,81.25,37.704918,31.25,40.625,43.75,43.75,39.0625,25.0,35.9375,25.0,34.42623,28.125,39.0625,65.625,34.920635,32.8125,31.25,70.3125,45.3125,31.25,37.5,42.1875,29.6875,21.875,43.75,31.25,29.6875
Sequence_12,36.065574,18.032787,34.42623,22.95082,40.983607,100.0,32.786885,44.262295,36.065574,39.344262,100.0,95.081967,32.786885,44.262295,44.262295,34.42623,32.786885,78.688525,29.508197,22.95082,29.508197,32.786885,31.147541,26.229508,22.95082,37.704918,34.42623,31.147541,31.147541,27.868852,29.508197,37.704918,37.704918,32.786885,36.065574,26.229508,29.508197,21.311475,73.770492,18.032787,22.95082,34.42623,21.311475,68.852459,29.508197,39.344262,39.344262,37.704918,34.42623,27.868852,21.311475,19.672131,27.868852,40.983607,77.04918,19.672131,40.983607,31.147541,40.983607,37.704918,27.868852,39.344262,22.95082,70.491803,37.704918,34.42623,32.786885,36.065574,31.147541,32.786885,37.704918,42.622951,19.672131,37.704918,34.42623,19.672131,40.983607,31.147541,19.672131,32.786885
Sequence_13,47.368421,27.272727,40.57971,29.411765,28.125,32.786885,100.0,39.0625,36.619718,31.343284,32.786885,31.147541,39.705882,25.352113,33.802817,51.470588,38.235294,32.786885,42.424242,25.0,42.424242,38.235294,39.705882,29.87013,27.536232,28.125,28.571429,49.295775,26.388889,26.865672,30.882353,35.820896,38.356164,54.794521,40.0,30.263158,41.09589,31.168831,29.508197,25.757576,28.985507,30.985915,27.941176,37.704918,53.947368,37.681159,38.961039,50.746269,52.238806,43.283582,28.571429,28.571429,48.648649,29.6875,32.786885,29.411765,37.681159,32.0,37.878788,37.681159,53.424658,45.945946,29.577465,32.786885,22.972973,41.09589,26.5625,30.15873,31.818182,40.57971,28.125,38.571429,29.411765,37.681159,30.30303,26.470588,45.205479,32.0,29.411765,36.231884
Sequence_14,32.8125,28.125,51.5625,40.625,43.75,44.262295,39.0625,100.0,32.8125,56.25,44.262295,45.901639,54.6875,39.0625,40.625,53.125,50.0,45.901639,56.25,39.0625,56.25,53.125,50.0,28.125,43.75,43.75,31.25,31.25,42.1875,39.0625,29.6875,60.9375,48.4375,34.375,37.5,34.375,26.5625,25.0,45.901639,37.5,43.75,43.75,42.1875,40.983607,37.5,53.125,51.5625,51.5625,48.4375,40.625,29.6875,43.75,39.0625,42.1875,52.459016,48.4375,64.0625,34.375,59.375,60.9375,37.5,43.75,37.5,40.983607,29.6875,43.75,35.9375,60.31746,48.4375,29.6875,42.1875,51.5625,48.4375,56.25,54.6875,46.875,32.8125,34.375,48.4375,48.4375
Sequence_15,52.112676,26.760563,44.927536,23.529412,29.6875,36.065574,36.619718,32.8125,100.0,31.343284,36.065574,37.704918,36.764706,36.619718,38.028169,38.235294,39.705882,36.065574,37.878788,22.058824,37.878788,35.294118,41.176471,38.028169,18.84058,31.25,32.394366,53.521127,25.352113,22.38806,45.588235,29.850746,38.028169,35.211268,53.521127,30.985915,46.478873,28.169014,34.42623,24.242424,18.84058,22.535211,25.0,44.262295,39.43662,28.985507,33.802817,38.80597,38.80597,31.343284,23.943662,28.169014,40.84507,26.5625,37.704918,22.058824,31.884058,33.802817,31.818182,28.985507,29.577465,40.84507,21.126761,32.786885,32.394366,49.295775,21.875,30.15873,30.30303,33.333333,28.125,40.0,22.058824,30.434783,25.757576,20.588235,54.929577,33.802817,22.058824,44.927536
Sequence_16,26.865672,32.835821,53.731343,46.268657,46.875,39.344262,31.343284,56.25,31.343284,100.0,39.344262,40.983607,53.731343,35.820896,40.298507,52.238806,55.223881,40.983607,46.969697,46.268657,46.969697,50.746269,52.238806,29.850746,38.80597,48.4375,35.820896,25.373134,43.283582,46.268657,29.850746,58.208955,46.268657,34.328358,37.313433,31.343284,28.358209,29.850746,32.786885,39.393939,41.791045,41.791045,44.776119,36.065574,32.835821,47.761194,50.746269,50.746269,46.268657,37.313433,35.820896,41.791045,32.835821,43.75,40.983607,46.268657,55.223881,29.850746,69.69697,50.746269,35.820896,38.80597,37.313433,39.344262,26.865672,38.80597,37.5,50.793651,46.969697,32.835821,43.75,46.268657,46.268657,47.761194,69.69697,47.761194,29.850746,29.850746,46.268657,55.223881
